xx,xxxx,xxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxx,xxxxxx,xxx,xxx,xx,xxxxxxxx
M1,1952,Taurus,Planetary nebula,5h 34.5m,22d 1',8.2,6x4,!!,SNR (1054) - Crab Nebula
M2,7089,Aquarius,Globular cluster,21h 33.5m,0d 49',6.5,13,!!,II
M3,5272,Canes Venatici,Globular cluster,13h 42.2m,28d 23',6.4,16,!!!,VI - superb object
M4,6121,Scorpius,Globular cluster,16h 23.6m,-26d 32',5.9,26,*,IX
M5,5904,Serpens,Globular cluster,15h 18.6m,2d 5',5.8,17,!!,V - superb cluster
M6,6405,Scorpius,Open cluster,17h 40.1m,-32d 13',4.2,15,!!,n: 80 - Butterfly Cluster
M7,6475,Scorpius,Open cluster,17h 53.9m,-34d 49',3.3,80,!!,nmbr:80-fine naked-eye OC
M8,6523,Sagittarius,Diffuse nebula,18h 3.8m,-24d 23',6.8,80x40,!!!,spec: O7e - Lagoon Nebula
M9,6333,Ophiuchus,Globular cluster,17h 19.2m,-18d 31',7.9,2.4,*,VIII
M10,6254,Ophiuchus,Globular cluster,16h 57.1m,-4d 6',6.6,8.2,!,VII
M11,6705,Scutum,Open cluster,18h 51.1m,-6d 16',5.8,14,!,n:200 - Wild Duck Cluster
M12,6218,Ophiuchus,Globular cluster,16h 47.2m,-1d 57',6.6,9.3,!!,IX
M13,6205,Hercules,Globular cluster,16h 41.7m,36d 28',5.9,10,!!,V - Hercules Cluster
M14,6402,Ophiuchus,Globular cluster,17h 37.6m,-3d 15',7.6,3,*,
M15,7078,Pegasus,Globular cluster,21h 30m,12d 10',6.4,7.4,!,IV - fine object
M16,6611,Serpens,Diffuse nebula,18h 18.8m,-13d 47',6.4,25,!!,neb & clust- Eagle Nebula
M17,6618,Sagittarius,Diffuse nebula,18h 20.8m,-16d 11',7.5,46x37,!!,Swan or Omega Nebula
M18,6613,Sagittarius,Open cluster,18h 19.9m,-17d 8',6.9,9,*,number: 20
M19,6273,Ophiuchus,Globular cluster,17h 2.6m,-26d 16',7.2,4.3,*,VIII
M20,6514,Sagittarius,Diffuse nebula,18h 2.6m,-23d 2',9,29x27,!!,spec: O7 - Trifid Nebula
M21,6531,Sagittarius,Open cluster,18h 4.6m,-22d 30',5.9,13,*,number: 70 - M20 in field
M22,6656,Sagittarius,Globular cluster,18h 36.4m,-23d 54',5.1,17.3,!!,VII - one of finest GCs
M23,6494,Sagittarius,Open cluster,17h 56.8m,-19d 1',5.5,27,*,number: 150
M24,6603,Sagittarius,Open cluster,18h 16.9m,-18d 29',4.6,4,*,number: 50 - star cloud
M25,IC4725,Sagittarius,Open cluster,18h 31.6m,-19d 15',4.6,32,*,number: 30 - open cloud
M26,6694,Scutum,Open cluster,18h 45.2m,-9d 24',8,15,*,number: 30
M27,6853,Vulpecula,Planetary nebula,19h 59.6m,22d 43',7.6,8x4,!!,Dumbbell Nebula
M28,6626,Sagittarius,Globular cluster,18h 24.5m,-24d 52',6.9,6,!,IV
M29,6913,Cygnus,Open cluster,20h 23.9m,38d 32',6.6,7,*,number: 50
M30,7099,Capricornus,Globular cluster,21h 40.4m,-23d 11',7.5,5.7,!,V
M31,224,Andromeda,Spiral galaxy,0h 42.7m,41d 16',4.8,160x40,!!!,Sb - Andromeda Galaxy
M32,221,Andromeda,Elliptical galaxy,0h 42.7m,40d 52',8.7,3.6x3.1,*,E0 - companion of M31
M33,598,Triangulum,Spiral galaxy,1h 33.9m,30d 39',6.3,60x35,!!,Sc - Pinwheel Galaxy
M34,1039,Perseus,Open cluster,2h 42m,42d 47',5.5,35,*,number: 60
M35,2168,Gemini,Open cluster,6h 8.9m,24d 20',5.3,28,*,number: 200
M36,1960,Auriga,Open cluster,5h 36.1m,34d 8',6,12,*,number: 60
M37,2099,Auriga,Open cluster,5h 52.4m,32d 33',5.6,24,!,number: 150
M38,1912,Auriga,Open cluster,5h 28.7m,35d 50',6.4,21,*,number: 100
M39,7092,Cygnus,Open cluster,21h 32.2m,48d 26',4.6,32,*,number: 30
M40,WNC 4,Ursa Major,Double star,12h 22.4m,58d 5',9.1,50,*,Winnnecke
M41,2287,Canis Major,Open cluster,6h 47m,-20d 44',4.6,38,*,number: 80
M42,1976,Orion,Diffuse nebula,5h 35.4m,-5d 27',2.9,66x60,!!!,Great Orion Nebula
M43,1982,Orion,Diffuse nebula,5h 35.6m,-5d 16',6.9,20x15,*,detached portion of M42
M44,2632,Cancer,Open cluster,8h 40.1m,19d 59',3.1,95,!!,Praesepe - Beehive Clustr
M45,,Taurus,Open cluster,3h 47m,24d 7',1.2,110,*,nmber: 130 - The Pleiades
M46,2437,Puppis,Open cluster,7h 41.8m,-14d 49',6.1,27,!,n:100 - NGC 2438 in field
M47,2422,Puppis,Open cluster,7h 36.6m,-14d 30',4.5,30,*,number: 30
M48,2548,Hydra,Open cluster,8h 13.8m,-5d 48',5.8,54,*,number: 80
M49,4472,Virgo,Elliptical galaxy,12h 29.8m,8d 0',8.4,4.0x3.4,*,E4
M50,2323,Monoceros,Open cluster,7h 3.2m,-8d 20',5.9,10.0x5.5,*,number: 80
M51,5194,Canes Venatici,Spiral galaxy,13h 29.9m,47d 12',8.4,10.0x5.5,!!,Sc - Whirlpool Galaxy
M52,7654,Cassiopeia,Open cluster,23h 24.2m,61d 35',6.9,13,*,number: 100
M53,5024,Coma Berenices,Globular cluster,13h 12.9m,18d 10',7.7,3.3,*,V
M54,6715,Sagittarius,Globular cluster,18h 55.1m,-30d 29',7.7,6,*,III
M55,6809,Sagittarius,Globular cluster,19h 40m,-30d 58',7,15,*,XI
M56,6779,Lyra,Globular cluster,19h 16.6m,30d 11',8.3,1.8,*,X
M57,6720,Lyra,Planetary nebula,18h 53.6m,33d 2',9.3,1.3x1,!!,cnt str:15 - Ring Nebula
M58,4579,Virgo,Spiral galaxy,12h 37.7m,11d 49',9.8,4.0x3.5,*,Sb - fine compact spiral
M59,4621,Virgo,Elliptical galaxy,12h 42m,11d 39',9.8,2.0x1.8,*,E3
M60,4649,Virgo,Elliptical galaxy,12h 43.7m,11d 33',8.8,3.0x2.5,*,E1 - NGC 4647 in field
M61,4303,Virgo,Spiral galaxy,12h 21.9m,4d 28',9.7,5.7x5.5,*,Sc - large face-on spiral
M62,6266,Ophiuchus,Globular cluster,17h 1.2m,-30d 7',6.6,4.3,*,IV - Burnham's under Sco
M63,5055,Canes Venatici,Spiral galaxy,13h 15.8m,42d 2',8.6,10x5,*,Sb - Sunflower Nebula
M64,4826,Coma Berenices,Spiral galaxy,12h 56.7m,21d 41',8.5,7.8x1.5,!,Sb - Black-Eye Galaxy
M65,3623,Leo,Spiral galaxy,11h 18.9m,13d 5',9.3,8.0x2.5,*,Sb -M66, NGC3628 in field
M66,3627,Leo,Spiral galaxy,11h 20.2m,12d 59',9,8.0x2.5,*,Sb -M65, NGC3628 in field
M67,2682,Cancer,Open cluster,8h 50.4m,11d 49',6.9,30,!,nmbr:200 - interesting OC
M68,4590,Hydra,Globular cluster,12h 39.5m,-26d 45',8.2,2.8,*,X
M69,6637,Sagittarius,Globular cluster,18h 31.4m,-32d 21',7.7,2.5,*,V
M70,6681,Sagittarius,Globular cluster,18h 43.2m,-32d 18',8.1,4,*,V
M71,6838,Sagitta,Globular cluster,19h 53.8m,18d 47',8.3,6.1,*,class not certain
M72,6981,Aquarius,Globular cluster,20h 53.5m,-12d 32',9.4,2,*,IX
M73,6994,Aquarius,Open cluster,20h 58.9m,-12d 38',9,2.8,*,asterism of 4 stars
M74,628,Pisces,Spiral galaxy,1h 36.7m,15d 47',9.2,9.0x9.0,*,Sc - fine face-on spiral
M75,6864,Sagittarius,Globular cluster,20h 6.1m,-21d 55',8.6,1.9,*,I - near Cap border
M76,650,Perseus,Planetary nebula,1h 42.4m,51d 34',12.2,140x70,*,cnt str:17-Little Dumbell
M77,1068,Cetus,Spiral galaxy,2h 42.7m,0d 1',8.9,6x5,*,Sbp - Seyfert glx.(3C 71)
M78,2068,Orion,Diffuse nebula,5h 46.7m,0d 3',10.5,8x6,*,spec: B8 - comet shaped
M79,1904,Lepus,Globular cluster,5h 24.5m,-24d 33',8.4,3.2,*,V
M80,6093,Scorpius,Globular cluster,16h 17m,-22d 59',7.2,3.3,*,II -incl Nova T Sco(1860)
M81,3031,Ursa Major,Spiral galaxy,9h 55.6m,69d 4',6.9,18x10,!,Sb - fine spiral
M82,3034,Ursa Major,Irregular galaxy,9h 55.8m,69d 41',8.4,8x3,!,Pec - fine pair with M81
M83,5236,Hydra,Spiral galaxy,13h 37m,-29d 52',8.2,10x8,!,Sc
M84,4374,Virgo,Elliptical galaxy,12h 25.1m,12d 53',9.3,2.0x1.8,*,E1 - center Virgo Cluster
M85,4382,Coma Berenices,Elliptical galaxy,12h 25.4m,18d 11',9.3,2.1x1.7,*,Ep
M86,4406,Virgo,Elliptical galaxy,12h 26.2m,12d 57',9.2,3x2,*,E3 - center Virgo Cluster
M87,4486,Virgo,Elliptical galaxy,12h 30.8m,12d 24',8.6,3x3,*,E1 - X-ray & radio source
M88,4501,Coma Berenices,Spiral galaxy,12h 32m,14d 25',9.5,5.5x2.4,*,Sb - multiple-arm spiral
M89,4552,Virgo,Elliptical galaxy,12h 35.7m,12d 33',9.8,2x2,*,E0 - bright, round
M90,4569,Virgo,Spiral galaxy,12h 36.8m,13d 10',9.5,7.0x2.5,*,Sb - well formed oval
M91,4548,Coma Berenices,Spiral galaxy,12h 35.4m,14d 30',10.2,3.7x3.2,*,SBb- barred spiral galaxy
M92,6341,Hercules,Globular cluster,17h 17.1m,43d 8',6.5,8.3,*,IV
M93,2447,Puppis,Open cluster,7h 44.6m,-23d 52',6.2,22,*,number: 80
M94,4736,Canes Venatici,Spiral galaxy,12h 50.9m,41d 7',8.2,5.0x3.5,*,Sbp
M95,3351,Leo,Spiral galaxy,10h 44m,11d 42',9.7,6.1x3.9,*,S(B)b - theta structure
M96,3368,Leo,Spiral galaxy,10h 46.8m,11d 49',9.1,5x4,*,Sbp - pair with M95
M97,3587,Ursa Major,Planetary nebula,11h 14.8m,55d 1',12,3.4x3.0,!,cnt str m:14 - Owl Nebula
M98,4192,Coma Berenices,Spiral galaxy,12h 13.8m,14d 54',10.1,8.4x1.9,*,Sb-knotty, bright spindle
M99,4254,Coma Berenices,Spiral galaxy,12h 18.8m,14d 25',9.8,4.6x3.9,!,Sc
M100,4321,Coma Berenices,Spiral galaxy,12h 22.9m,15d 49',9.4,5.3x4.5,!,Sc - fine spiral
M101,5457,Ursa Major,Spiral galaxy,14h 3.2m,54d 21',7.7,22x20,*,Sc-splendid large face-on
M102,5457,Ursa Major,Spiral galaxy,14h 3.2m,54d 21',7.7,22x20,*,Sc - Duplicate of M101
M103,581,Cassiopeia,Open cluster,1h 33.2m,60d 42',7.4,5,*,nmbr: 25 -arrowhead shape
M104,4594,Virgo,Spiral galaxy,12h 40m,-11d 37',8.3,7.0x1.5,!,Sb - Sombrero Galaxy
M105,3379,Leo,Elliptical galaxy,10h 47.8m,12d 35',9.2,2.2x2.0,,E1 -group with 3384, 3389
M106,4258,Canes Venatici,Spiral galaxy,12h 19m,47d 18',8.3,18.2x7.0,!,Sbp
M107,6171,Ophiuchus,Globular cluster,16h 32.5m,-13d 3',8.1,2.2,,X
M108,3556,Ursa Major,Spiral galaxy,11h 11.5m,55d 40',10.1,7.7x1.3,*,Sc - edge-on/M97 in field
M109,3992,Ursa Major,Spiral galaxy,11h 57.6m,53d 23',9.8,6.2x3.5,,SBb -barred spiral galaxy
M110,205,Andromeda,Elliptical galaxy,0h 40.4m,41d 41',9.4,8.0x3.0,,E6 - companion of M31